Marital_status,Application_mode,Application_order,Course,Daytime_evening_attendance,Previous_qualification,Previous_qualification_grade,Nacionality,Mothers_qualification,Fathers_qualification,Mothers_occupation,Fathers_occupation,Admission_grade,Displaced,Educational_special_needs,Debtor,Tuition_fees_up_to_date,Gender,Scholarship_holder,Age_at_enrollment,International,Curricular_units_1st_sem_credited,Curricular_units_1st_sem_enrolled,Curricular_units_1st_sem_evaluations,Curricular_units_1st_sem_approved,Curricular_units_1st_sem_grade,Curricular_units_1st_sem_without_evaluations,Curricular_units_2nd_sem_credited,Curricular_units_2nd_sem_enrolled,Curricular_units_2nd_sem_evaluations,Curricular_units_2nd_sem_approved,Curricular_units_2nd_sem_grade,Curricular_units_2nd_sem_without_evaluations,Unemployment_rate,Inflation_rate,GDP,Status,Status_Dropout,Status_Enrolled,Status_Graduate
Single,2nd phase - general contingent,Second Choice,Animation and Multimedia Design,Daytime,Secondary education,122.0,Portuguese,Basic Education,Other,Service Workers,Unskilled Workers,127.3,Yes,No,No,Yes,Male,No,20,No,0,0,0,0,0.0,0,0,0,0,0,0.0,0,10.8,1.4,1.74,1,True,False,False
Single,International student (bachelor),First Choice,Tourism,Daytime,Secondary education,160.0,Portuguese,Secondary Education,Higher Education,Technicians,Technicians,142.5,Yes,No,No,No,Male,No,19,No,0,6,6,6,14.0,0,0,6,6,6,13.666666666666666,0,13.9,-0.3,0.79,0,False,False,True
Single,1st phase - general contingent,Second Choice,Communication Design,Daytime,Secondary education,122.0,Portuguese,Basic Education,Basic Education,Unskilled Workers,Unskilled Workers,124.8,Yes,No,No,No,Male,No,19,No,0,6,0,0,0.0,0,0,6,0,0,0.0,0,10.8,1.4,1.74,1,True,False,False
Single,2nd phase - general contingent,Second Choice,Journalism and Communication,Daytime,Secondary education,122.0,Portuguese,Basic Education,Basic Education,Service Workers,Technicians,119.6,Yes,No,No,Yes,Female,No,20,No,0,6,8,6,13.428571428571429,0,0,6,10,5,12.4,0,9.4,-0.8,-3.12,0,False,False,True
Married,Over 23 years old,First Choice,Social Service (evening attendance),Evening,Secondary education,100.0,Portuguese,Basic Education,Basic Education,Unskilled Workers,Unskilled Workers,141.5,No,No,No,Yes,Female,No,45,No,0,6,9,5,12.333333333333334,0,0,6,6,6,13.0,0,13.9,-0.3,0.79,0,False,False,True
Married,Over 23 years old,First Choice,Management (evening attendance),Evening,Basic education,133.1,Portuguese,Basic Education,Basic Education,Unskilled Workers,Skilled Workers,114.8,No,No,Yes,Yes,Male,No,50,No,0,5,10,5,11.857142857142858,0,0,5,17,5,11.5,5,16.2,0.3,-0.92,0,False,False,True
Single,1st phase - general contingent,First Choice,Nursing,Daytime,Secondary education,142.0,Portuguese,Basic Education,Basic Education,Skilled Workers,Armed Forces,128.4,Yes,No,No,Yes,Female,Yes,18,No,0,7,9,7,13.3,0,0,8,8,8,14.345,0,15.5,2.8,-4.06,0,False,False,True
Single,3rd phase - general contingent,Second Choice,Tourism,Daytime,Secondary education,119.0,Portuguese,Basic Education,Basic Education,Unskilled Workers,Unskilled Workers,113.1,Yes,No,No,No,Male,No,22,No,0,5,5,0,0.0,0,0,5,5,0,0.0,0,15.5,2.8,-4.06,1,True,False,False
Single,1st phase - general contingent,Second Choice,Social Service,Daytime,Secondary education,137.0,Romanian,Secondary Education,Secondary Education,Unskilled Workers,Unskilled Workers,129.3,No,No,No,Yes,Female,Yes,21,Yes,0,6,8,6,13.875,0,0,6,7,6,14.142857142857142,0,16.2,0.3,-0.92,0,False,False,True
Single,1st phase - general contingent,First Choice,Social Service,Daytime,Secondary education,138.0,Portuguese,Secondary Education,Basic Education,Administrative Staff,Skilled Workers,123.0,Yes,No,Yes,No,Female,No,18,No,0,6,9,5,11.4,0,0,6,14,2,13.5,0,8.9,1.4,3.51,1,True,False,False
Single,1st phase - general contingent,First Choice,Advertising and Marketing Management,Daytime,Secondary education,139.0,Portuguese,Basic Education,Basic Education,Service Workers,Skilled Workers,130.6,Yes,No,No,Yes,Female,No,18,No,0,6,6,6,12.333333333333334,0,0,6,7,5,14.2,0,13.9,-0.3,0.79,0,False,False,True
Single,1st phase - general contingent,First Choice,Nursing,Daytime,Secondary education,136.0,Portuguese,Basic Education,Basic Education,Unskilled Workers,Unskilled Workers,119.3,Yes,No,No,Yes,Female,Yes,18,No,0,8,8,7,13.214285714285714,0,0,8,8,7,13.214285714285714,0,12.7,3.7,-1.7,0,False,False,True
Single,1st phase - general contingent,Second Choice,Basic Education,Daytime,Secondary education,133.0,Portuguese,Basic Education,Basic Education,Administrative Staff,Unskilled Workers,130.2,Yes,No,No,Yes,Female,No,19,No,0,6,6,0,0.0,0,0,6,0,0,0.0,0,12.7,3.7,-1.7,1,True,False,False
Single,Short cycle diploma holders,First Choice,Tourism,Daytime,Other,110.0,Portuguese,Secondary Education,Secondary Education,Administrative Staff,Skilled Workers,111.8,Yes,No,No,Yes,Female,Yes,21,No,0,6,7,6,10.571428571428571,0,0,6,8,5,11.0,0,8.9,1.4,3.51,0,False,False,True
Single,1st phase - general contingent,First Choice,Veterinary Nursing,Daytime,Secondary education,149.0,Portuguese,Basic Education,Basic Education,Service Workers,Service Workers,137.1,Yes,No,No,Yes,Female,Yes,18,No,0,5,7,4,13.25,0,0,5,5,5,12.0,0,10.8,1.4,1.74,0,False,False,True
Single,1st phase - general contingent,First Choice,Journalism and Communication,Daytime,Secondary education,127.0,Portuguese,Basic Education,Basic Education,Unskilled Workers,Technicians,120.7,Yes,No,No,Yes,Female,No,20,No,0,6,6,5,13.2,0,0,6,7,0,0.0,0,15.5,2.8,-4.06,1,True,False,False
Single,3rd phase - general contingent,First Choice,Social Service,Daytime,Secondary education,137.0,Portuguese,Basic Education,Basic Education,Service Workers,Machine Operators,137.4,Yes,No,No,Yes,Female,No,18,No,0,6,10,1,12.0,0,0,6,14,2,11.0,0,10.8,1.4,1.74,2,False,True,False
Single,2nd phase - general contingent,Second Choice,Nursing,Daytime,Secondary education,135.0,Portuguese,Basic Education,Secondary Education,Service Workers,Administrative Staff,127.3,Yes,No,No,Yes,Female,No,18,No,0,7,8,7,13.30625,0,0,8,8,8,14.545,0,15.5,2.8,-4.06,0,False,False,True
Single,1st phase - general contingent,First Choice,Equinculture,Daytime,Secondary education,137.0,Portuguese,Higher Education,Basic Education,Technicians,Service Workers,136.3,Yes,No,No,Yes,Female,No,20,No,0,5,8,4,12.5,1,0,5,8,4,12.25,2,10.8,1.4,1.74,0,False,False,True
Single,1st phase - general contingent,First Choice,Basic Education,Daytime,Secondary education,140.0,Portuguese,Basic Education,Basic Education,Skilled Workers,Skilled Workers,124.6,Yes,No,No,Yes,Female,No,18,No,0,7,7,6,11.666666666666666,0,0,7,8,6,13.5,0,16.2,0.3,-0.92,2,False,True,False
Single,1st phase - general contingent,Second Choice,Animation and Multimedia Design,Daytime,Secondary education,122.0,Portuguese,Secondary Education,Secondary Education,Unskilled Workers,Machine Operators,120.3,No,No,No,Yes,Female,Yes,21,No,0,0,0,0,0.0,0,0,0,0,0,0.0,0,11.1,0.6,2.02,0,False,False,True
Single,3rd phase - general contingent,Second Choice,Oral Hygiene,Daytime,Secondary education,127.0,Portuguese,Secondary Education,Basic Education,Administrative Staff,Skilled Workers,121.8,Yes,No,No,Yes,Female,No,20,No,0,7,14,7,11.4375,0,0,8,9,8,11.425,0,12.7,3.7,-1.7,2,False,True,False
Single,1st phase - general contingent,Second Choice,Nursing,Daytime,Secondary education,142.0,Portuguese,Basic Education,Basic Education,Managers,Managers,125.5,Yes,No,No,Yes,Female,No,18,No,0,8,12,7,12.857142857142858,0,0,8,12,7,12.857142857142858,0,12.7,3.7,-1.7,0,False,False,True
Single,1st phase - general contingent,Second Choice,Advertising and Marketing Management,Daytime,Secondary education,125.0,Portuguese,Secondary Education,Basic Education,Administrative Staff,Skilled Workers,114.9,Yes,No,No,Yes,Female,Yes,19,No,0,6,8,6,13.375,0,0,6,7,6,12.285714285714286,0,11.1,0.6,2.02,0,False,False,True
Single,1st phase - general contingent,First Choice,Nursing,Daytime,Secondary education,126.0,Portuguese,Basic Education,Basic Education,Technicians,Skilled Workers,123.9,No,No,No,Yes,Female,No,19,No,0,7,8,6,13.296666666666669,0,0,8,9,7,14.114285714285714,0,11.1,0.6,2.02,0,False,False,True
Single,1st phase - general contingent,First Choice,Social Service,Daytime,Secondary education,151.0,Portuguese,Basic Education,Basic Education,Unskilled Workers,Unskilled Workers,157.0,Yes,No,Yes,Yes,Female,Yes,18,No,0,6,8,5,11.6,0,0,6,12,4,11.0,0,7.6,2.6,0.32,2,False,True,False
Single,2nd phase - general contingent,Second Choice,Social Service,Daytime,Secondary education,115.0,Portuguese,Basic Education,Basic Education,Skilled Workers,Machine Operators,116.4,Yes,No,No,Yes,Female,No,21,No,0,6,9,6,11.375,0,0,6,9,6,13.285714285714286,0,16.2,0.3,-0.92,0,False,False,True
Single,1st phase - general contingent,First Choice,Veterinary Nursing,Daytime,Secondary education,138.0,Portuguese,Basic Education,Basic Education,Technicians,Technicians,131.0,Yes,No,No,Yes,Female,No,18,No,0,5,9,5,12.666666666666666,2,0,5,7,4,13.0,0,9.4,-0.8,-3.12,2,False,True,False
Single,1st phase - general contingent,First Choice,Management,Daytime,Secondary education,135.0,Portuguese,Basic Education,Secondary Education,Unskilled Workers,Unskilled Workers,122.1,Yes,No,No,Yes,Female,No,20,No,0,5,6,5,12.0,0,0,5,6,5,12.333333333333334,0,16.2,0.3,-0.92,0,False,False,True
Single,2nd phase - general contingent,Second Choice,Nursing,Daytime,Secondary education,127.0,Portuguese,Higher Education,Higher Education,Managers,Armed Forces,118.8,Yes,No,No,Yes,Male,No,19,No,0,7,9,6,12.933333333333332,0,0,7,7,6,13.716666666666669,0,16.2,0.3,-0.92,2,False,True,False
Single,Technological specialization diploma holders,First Choice,Agronomy,Daytime,Technological specialization,150.0,Portuguese,Higher Education,Higher Education,Administrative Staff,Professionals,150.0,No,No,No,Yes,Male,No,21,No,0,6,15,5,11.857142857142858,0,0,6,17,5,10.571428571428571,0,16.2,0.3,-0.92,2,False,True,False
Single,Change of institution/course,First Choice,Communication Design,Daytime,Secondary education,125.0,Portuguese,Higher Education,Higher Education,Professionals,Professionals,130.0,Yes,No,No,Yes,Male,No,20,No,2,6,7,6,12.833333333333334,0,0,6,9,4,13.4,0,8.9,1.4,3.51,0,False,False,True
Single,1st phase - general contingent,First Choice,Management,Daytime,Secondary education,143.0,Portuguese,Secondary Education,Secondary Education,Administrative Staff,Agricultural Workers,138.8,No,No,No,No,Male,No,18,No,0,5,9,3,11.333333333333334,0,0,5,8,2,13.5,0,8.9,1.4,3.51,2,False,True,False
Single,3rd phase - general contingent,First Choice,Social Service (evening attendance),Evening,Secondary education,138.0,Portuguese,Basic Education,Secondary Education,Unskilled Workers,Service Workers,134.5,Yes,No,No,Yes,Female,No,19,No,0,6,6,6,12.666666666666666,0,0,6,8,6,14.375,0,12.4,0.5,1.79,0,False,False,True
Single,1st phase - general contingent,First Choice,Management (evening attendance),Evening,Secondary education,130.0,Portuguese,Higher Education,Basic Education,Technicians,Unskilled Workers,131.4,No,No,No,Yes,Male,No,34,No,0,5,6,5,12.4,0,0,5,9,5,13.428571428571429,0,13.9,-0.3,0.79,0,False,False,True
Single,Over 23 years old,First Choice,Biofuel Production Technologies,Daytime,Secondary education,130.0,Portuguese,Basic Education,Basic Education,Unskilled Workers,Agricultural Workers,102.5,No,No,Yes,No,Male,No,37,No,0,7,7,0,0.0,0,0,7,7,1,10.0,0,8.9,1.4,3.51,1,True,False,False
Single,Over 23 years old,First Choice,Informatics Engineering,Daytime,Other,133.1,Portuguese,Other,Basic Education,Student,Student,128.8,Yes,No,No,Yes,Male,No,43,No,0,5,0,0,0.0,0,0,5,0,0,0.0,0,7.6,2.6,0.32,1,True,False,False
Single,Change of course,First Choice,Management,Daytime,Secondary education,140.0,Portuguese,Basic Education,Basic Education,Agricultural Workers,Agricultural Workers,122.9,No,No,No,Yes,Female,No,55,No,0,5,10,1,10.0,0,0,5,8,2,12.0,2,16.2,0.3,-0.92,1,True,False,False
Divorced,Over 23 years old,First Choice,Management (evening attendance),Evening,Secondary education,120.0,Portuguese,Basic Education,Basic Education,Unskilled Workers,Technicians,113.9,Yes,No,No,Yes,Female,No,39,No,0,5,8,5,11.0,0,0,5,5,5,11.6,0,7.6,2.6,0.32,0,False,False,True
Single,Technological specialization diploma holders,First Choice,Equinculture,Daytime,Technological specialization,120.0,Spanish,Higher Education,Higher Education,Technicians,Agricultural Workers,120.0,No,No,Yes,No,Female,No,20,Yes,2,6,13,3,11.666666666666666,0,1,6,11,3,12.0,0,12.4,0.5,1.79,1,True,False,False
